permutation,context_only_macro_f1,context_only_balanced_accuracy,context_only_macro_pr_auc,ppg_plus_context_macro_f1,ppg_plus_context_balanced_accuracy,ppg_plus_context_macro_pr_auc,macro_f1_delta,balanced_accuracy_delta,macro_pr_auc_delta
129,0.4401294498381877,0.5,0.46106606472681416,0.4959207459207459,0.5013910969793323,0.5044829637645543,0.05579129608255823,0.0013910969793322625,0.0434168990377401
130,0.4401294498381877,0.5,0.46038961941005335,0.46921286500211595,0.4719793322734499,0.537885361710665,0.02908341516392826,-0.028020667726550097,0.07749574230061168
131,0.4401294498381877,0.5,0.49071716321849745,0.5051320881709574,0.5075516693163752,0.5085395358257493,0.06500263833276976,0.007551669316375187,0.017822372607251835
132,0.4401294498381877,0.5,0.5184500636049165,0.5028735632183908,0.5087440381558028,0.48111026718846783,0.06274411338020314,0.008744038155802825,-0.03733979641644869
133,0.4401294498381877,0.5,0.5115446466208582,0.46439628482972134,0.47804054054054057,0.47037692907456685,0.024266834991533648,-0.02195945945945943,-0.04116771754629134
134,0.4401294498381877,0.5,0.4998314090458445,0.44979554747841893,0.45965818759936405,0.4564116409799967,0.009666097640231242,-0.040341812400635946,-0.0434197680658478
135,0.4364820846905538,0.49264705882352944,0.5419609708258564,0.5160839160839161,0.5185810810810811,0.48844009422746504,0.07960183139336235,0.025934022257551703,-0.05352087659839133
136,0.4678742310321258,0.5135135135135135,0.5384892772107258,0.49249352890422776,0.497714626391097,0.5097079058496914,0.024619297872101986,-0.015798887122416505,-0.028781371361034425
137,0.4401294498381877,0.5,0.48246801263402295,0.44979554747841893,0.45965818759936405,0.44790227965497076,0.009666097640231242,-0.040341812400635946,-0.03456573297905219
138,0.4401294498381877,0.5,0.44672448327499703,0.452689099798677,0.46333465818759934,0.5177417389295559,0.012559649960489305,-0.036665341812400665,0.07101725565455885
139,0.4401294498381877,0.5,0.6153932672120397,0.4694457064970468,0.4768481717011129,0.5074319019043928,0.02931625665885912,-0.023151828298887123,-0.10796136530764688
140,0.4401294498381877,0.5,0.5075900935569923,0.4469123338381289,0.4559817170111288,0.4835080866252921,0.006782883999941203,-0.04401828298887123,-0.02408200693170015
141,0.4401294498381877,0.5,0.4621329195079175,0.49098593056224255,0.492845786963434,0.5180872386196937,0.05085648072405485,-0.007154213036565993,0.05595431911177623
142,0.4401294498381877,0.5,0.5322500982122047,0.49249352890422776,0.497714626391097,0.48607316540283907,0.05236407906604007,-0.0022853736089030185,-0.046176932809365634
143,0.4401294498381877,0.5,0.5368982951420853,0.4857255033933479,0.4903616852146264,0.5903926859861353,0.04559605355516022,-0.00963831478537358,0.053494390844049944
144,0.4401294498381877,0.5,0.5229603012868571,0.4944805194805195,0.49652225755166934,0.5534700296293205,0.05435106964233183,-0.0034777424483306563,0.03050972834246335
145,0.4401294498381877,0.5,0.5376106666628355,0.5398936170212766,0.5382551669316376,0.524478747098382,0.09976416718308889,0.03825516693163755,-0.013131919564453476
146,0.4401294498381877,0.5,0.5143949620259936,0.5322979580097785,0.5320945945945946,0.504638699091722,0.09216850817159083,0.03209459459459463,-0.009756262934271565
147,0.4401294498381877,0.5,0.507884378026527,0.5132034632034632,0.5137122416534181,0.549021240803777,0.07307401336527553,0.013712241653418111,0.04113686277725004
148,0.4401294498381877,0.5,0.4701298190728869,0.49249352890422776,0.497714626391097,0.49265599001940563,0.05236407906604007,-0.0022853736089030185,0.02252617094651871
149,0.4401294498381877,0.5,0.5421993877793558,0.5169449767314536,0.5173887122416534,0.5635256091063865,0.07681552689326587,0.017388712241653392,0.02132622132703066
150,0.4401294498381877,0.5,0.5171032775527612,0.5522001725625539,0.5492845786963434,0.6123132692036127,0.11207072272436625,0.049284578696343395,0.09520999165085153
151,0.4401294498381877,0.5,0.5117102580750259,0.42750574906051936,0.43879173290937995,0.49703225263714457,-0.012623700777668334,-0.06120826709062005,-0.014678005437881336
152,0.4383116883116883,0.4963235294117647,0.5844128867772539,0.4725913143514524,0.48052464228934816,0.5189961049079675,0.03427962603976409,-0.01579888712241656,-0.06541678186928634
153,0.4383116883116883,0.4963235294117647,0.5297814986096557,0.4487347703842549,0.4682034976152623,0.4929382767056486,0.010423082072566592,-0.02812003179650241,-0.03684322190400713
154,0.4401294498381877,0.5,0.49952546051272934,0.5522001725625539,0.5492845786963434,0.6124847374493481,0.11207072272436625,0.049284578696343395,0.11295927693661872
155,0.4364820846905538,0.49264705882352944,0.5974945338517865,0.5094955330872519,0.5100357710651828,0.5414466564350197,0.07301344839669816,0.017388712241653392,-0.05604787741676687
156,0.4401294498381877,0.5,0.4353709293247487,0.5123957434570032,0.5149046104928459,0.5227003457532448,0.07226629361881554,0.01490461049284586,0.08732941642849607
157,0.4401294498381877,0.5,0.5043279472400651,0.46011497399397755,0.465818759936407,0.4712272382415663,0.019985524155789858,-0.03418124006359302,-0.03310070899849882
158,0.43278688524590164,0.4852941176470588,0.5687211457131388,0.48238031914893614,0.48668521462639114,0.5270856351005149,0.0495934339030345,0.001391096979332318,-0.04163551061262394
159,0.4401294498381877,0.5,0.4691193445924839,0.4541181016163307,0.4755564387917329,0.5157907486177832,0.013988651778143013,-0.024443561208267073,0.04667140402529929
160,0.4401294498381877,0.5,0.5517910272035143,0.5522001725625539,0.5492845786963434,0.5476071816987216,0.11207072272436625,0.049284578696343395,-0.0041838455047926715
161,0.4401294498381877,0.5,0.5154888573709354,0.4980016424856283,0.5001987281399046,0.4851806000213871,0.05787219264744059,0.0001987281399046248,-0.03030825734954834
162,0.4401294498381877,0.5,0.467320632818905,0.44073275862068967,0.45717408585055647,0.4882620941695234,0.0006033087825019767,-0.042825914149443534,0.020941461350618362
